Train: epoch-5 (7400/7410)	batch_time 0.08		data_time 0.01		loss 0.684	prec@1 79.47	
Validate: Prec@1 90.94  Loss 0.299
Best Prec@1: 90.94

Train: epoch-6 (200/7410)	batch_time 0.18		data_time 0.11		loss 0.693	prec@1 79.28	
Train: epoch-6 (400/7410)	batch_time 0.07		data_time 0.01		loss 0.724	prec@1 78.44	
Train: epoch-6 (600/7410)	batch_time 0.07		data_time 0.01		loss 0.691	prec@1 79.47	
Train: epoch-6 (800/7410)	batch_time 0.08		data_time 0.01		loss 0.685	prec@1 78.50	
Train: epoch-6 (1000/7410)	batch_time 0.08		data_time 0.01		loss 0.672	prec@1 79.12	
Train: epoch-6 (1200/7410)	batch_time 0.08		data_time 0.01		loss 0.665	prec@1 80.81	
Train: epoch-6 (1400/7410)	batch_time 0.08		data_time 0.01		loss 0.657	prec@1 80.41	
Train: epoch-6 (1600/7410)	batch_time 0.08		data_time 0.01		loss 0.697	prec@1 78.22	
Train: epoch-6 (1800/7410)	batch_time 0.08		data_time 0.01		loss 0.670	prec@1 79.19	
Train: epoch-6 (2000/7410)	batch_time 0.08		data_time 0.01		loss 0.682	prec@1 79.62	
Train: epoch-6 (2200/7410)	batch_time 0.08		data_time 0.01		loss 0.675	prec@1 78.97	
Train: epoch-6 (2400/7410)	batch_time 0.08		data_time 0.01		loss 0.710	prec@1 78.59	
Train: epoch-6 (2600/7410)	batch_time 0.08		data_time 0.01		loss 0.696	prec@1 78.91	
Train: epoch-6 (2800/7410)	batch_time 0.08		data_time 0.01		loss 0.664	prec@1 80.19	
Train: epoch-6 (3000/7410)	batch_time 0.08		data_time 0.01		loss 0.722	prec@1 78.25	
Train: epoch-6 (3200/7410)	batch_time 0.07		data_time 0.01		loss 0.680	prec@1 79.38	
Train: epoch-6 (3400/7410)	batch_time 0.08		data_time 0.01		loss 0.708	prec@1 78.78	
Train: epoch-6 (3600/7410)	batch_time 0.08		data_time 0.01		loss 0.682	prec@1 79.41	
Train: epoch-6 (3800/7410)	batch_time 0.08		data_time 0.01		loss 0.639	prec@1 80.75	
Train: epoch-6 (4000/7410)	batch_time 0.08		data_time 0.01		loss 0.745	prec@1 77.97	
Train: epoch-6 (4200/7410)	batch_time 0.08		data_time 0.01		loss 0.710	prec@1 78.78	
Train: epoch-6 (4400/7410)	batch_time 0.08		data_time 0.01		loss 0.716	prec@1 78.59	
Train: epoch-6 (4600/7410)	batch_time 0.08		data_time 0.01		loss 0.669	prec@1 79.78	
Train: epoch-6 (4800/7410)	batch_time 0.08		data_time 0.01		loss 0.694	prec@1 79.41	
Train: epoch-6 (5000/7410)	batch_time 0.08		data_time 0.01		loss 0.682	prec@1 78.91	
Train: epoch-6 (5200/7410)	batch_time 0.08		data_time 0.01		loss 0.710	prec@1 78.78	
Train: epoch-6 (5400/7410)	batch_time 0.08		data_time 0.01		loss 0.721	prec@1 78.44	
Train: epoch-6 (5600/7410)	batch_time 0.08		data_time 0.01		loss 0.717	prec@1 78.81	
Train: epoch-6 (5800/7410)	batch_time 0.08		data_time 0.01		loss 0.658	prec@1 80.12	
Train: epoch-6 (6000/7410)	batch_time 0.08		data_time 0.01		loss 0.656	prec@1 79.69	
Train: epoch-6 (6200/7410)	batch_time 0.08		data_time 0.01		loss 0.695	prec@1 78.66	
Train: epoch-6 (6400/7410)	batch_time 0.08		data_time 0.01		loss 0.692	prec@1 79.00	
Train: epoch-6 (6600/7410)	batch_time 0.08		data_time 0.01		loss 0.687	prec@1 78.69	
Train: epoch-6 (6800/7410)	batch_time 0.08		data_time 0.01		loss 0.653	prec@1 80.38	
Train: epoch-6 (7000/7410)	batch_time 0.08		data_time 0.01		loss 0.652	prec@1 80.00	
Train: epoch-6 (7200/7410)	batch_time 0.08		data_time 0.01		loss 0.734	prec@1 78.09	
Train: epoch-6 (7400/7410)	batch_time 0.08		data_time 0.01		loss 0.708	prec@1 78.56	
Validate: Prec@1 90.38  Loss 0.308
Best Prec@1: 90.94

Train: epoch-7 (200/7410)	batch_time 0.18		data_time 0.11		loss 0.720	prec@1 78.81	
Train: epoch-7 (400/7410)	batch_time 0.07		data_time 0.01		loss 0.707	prec@1 78.88	
Train: epoch-7 (600/7410)	batch_time 0.07		data_time 0.01		loss 0.669	prec@1 79.56	
Train: epoch-7 (800/7410)	batch_time 0.08		data_time 0.01		loss 0.702	prec@1 78.59	
Train: epoch-7 (1000/7410)	batch_time 0.08		data_time 0.01		loss 0.696	prec@1 78.88	
Train: epoch-7 (1200/7410)	batch_time 0.08		data_time 0.01		loss 0.682	prec@1 78.88	
